16 Nov 2016 15:46:09 [rsession-jdivenyi] WARNING Abort requested; LOGGED FROM: bool rstudio::session::connection::checkForAbort(boost::shared_ptr<HttpConnection>, const boost::function<void ()>) /Users/rstudio/rstudio/src/cpp/session/http/SessionHttpConnectionUtils.cpp:136
18 Nov 2016 15:31:16 [rsession-jdivenyi] CLIENT EXCEPTION (rsession-jdivenyi): (TypeError) : undefined is not an object (evaluating 'this.a.a.r.row');|||org/rstudio/studio/client/workbench/views/source/editors/text/r/SignatureToolTipManager.java#134::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#167::runScheduledTasks|||com/google/gwt/core/client/impl/SchedulerImpl.java#338::flushPostEventPumpCommands|||com/google/gwt/core/client/impl/SchedulerImpl.java#76::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#140::execute|||com/google/gwt/core/client/impl/Impl.java#244::apply|||com/google/gwt/core/client/impl/Impl.java#283::entry0|||http://127.0.0.1:23904/#-1::anonymous|||com/google/gwt/cell/client/AbstractEditableCell.java#41::viewDataMap|||Client-ID: 33e600bb-c1b1-46bf-b562-ab5cba070b0e|||User-Agent: Mozilla/5.0 (Macintosh  Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko)
18 Nov 2016 15:31:16 [rsession-jdivenyi] CLIENT EXCEPTION (rsession-jdivenyi): (TypeError) : undefined is not an object (evaluating 'this.a.a.r.row');|||org/rstudio/studio/client/workbench/views/source/editors/text/r/SignatureToolTipManager.java#134::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#167::runScheduledTasks|||com/google/gwt/core/client/impl/SchedulerImpl.java#338::flushPostEventPumpCommands|||com/google/gwt/core/client/impl/SchedulerImpl.java#76::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#140::execute|||com/google/gwt/core/client/impl/Impl.java#244::apply|||com/google/gwt/core/client/impl/Impl.java#283::entry0|||http://127.0.0.1:23904/#-1::anonymous|||com/google/gwt/cell/client/AbstractEditableCell.java#41::viewDataMap|||Client-ID: 33e600bb-c1b1-46bf-b562-ab5cba070b0e|||User-Agent: Mozilla/5.0 (Macintosh  Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko)
18 Nov 2016 15:31:16 [rsession-jdivenyi] CLIENT EXCEPTION (rsession-jdivenyi): (TypeError) : undefined is not an object (evaluating 'this.a.a.r.row');|||org/rstudio/studio/client/workbench/views/source/editors/text/r/SignatureToolTipManager.java#134::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#167::runScheduledTasks|||com/google/gwt/core/client/impl/SchedulerImpl.java#338::flushPostEventPumpCommands|||com/google/gwt/core/client/impl/SchedulerImpl.java#76::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#140::execute|||com/google/gwt/core/client/impl/Impl.java#244::apply|||com/google/gwt/core/client/impl/Impl.java#283::entry0|||http://127.0.0.1:23904/#-1::anonymous|||com/google/gwt/cell/client/AbstractEditableCell.java#41::viewDataMap|||Client-ID: 33e600bb-c1b1-46bf-b562-ab5cba070b0e|||User-Agent: Mozilla/5.0 (Macintosh  Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko)
24 Nov 2016 19:40:48 [rsession-jdivenyi] WARNING Process supervisor did not terminate within 1 second; LOGGED FROM: void <anonymous namespace>::rCleanup(bool) /Users/rstudio/rstudio/src/cpp/session/SessionMain.cpp:2561
24 Nov 2016 21:30:43 [rsession-jdivenyi] WARNING Abort requested; LOGGED FROM: bool rstudio::session::connection::checkForAbort(boost::shared_ptr<HttpConnection>, const boost::function<void ()>) /Users/rstudio/rstudio/src/cpp/session/http/SessionHttpConnectionUtils.cpp:136
30 Nov 2016 14:16:48 [rsession-jdivenyi] WARNING Abort requested; LOGGED FROM: bool rstudio::session::connection::checkForAbort(boost::shared_ptr<HttpConnection>, const boost::function<void ()>) /Users/rstudio/rstudio/src/cpp/session/http/SessionHttpConnectionUtils.cpp:136
02 Dec 2016 11:15:52 [rsession-jdivenyi] WARNING Abort requested; LOGGED FROM: bool rstudio::session::connection::checkForAbort(boost::shared_ptr<HttpConnection>, const boost::function<void ()>) /Users/rstudio/rstudio/src/cpp/session/http/SessionHttpConnectionUtils.cpp:136
02 Dec 2016 16:06:50 [rsession-jdivenyi] WARNING Abort requested; LOGGED FROM: bool rstudio::session::connection::checkForAbort(boost::shared_ptr<HttpConnection>, const boost::function<void ()>) /Users/rstudio/rstudio/src/cpp/session/http/SessionHttpConnectionUtils.cpp:136
02 Dec 2016 16:11:40 [rsession-jdivenyi] WARNING Abort requested; LOGGED FROM: bool rstudio::session::connection::checkForAbort(boost::shared_ptr<HttpConnection>, const boost::function<void ()>) /Users/rstudio/rstudio/src/cpp/session/http/SessionHttpConnectionUtils.cpp:136
05 Dec 2016 16:12:38 [rsession-jdivenyi] WARNING Abort requested; LOGGED FROM: bool rstudio::session::connection::checkForAbort(boost::shared_ptr<HttpConnection>, const boost::function<void ()>) /Users/rstudio/rstudio/src/cpp/session/http/SessionHttpConnectionUtils.cpp:136
05 Dec 2016 16:35:34 [rsession-jdivenyi] ERROR Unexpected exception: call to empty boost::function; LOGGED FROM: int rstudio::r::session::RReadConsole(const char *, CONSOLE_BUFFER_CHAR *, int, int) /Users/rstudio/rstudio/src/cpp/r/session/RSession.cpp:812
05 Dec 2016 16:35:34 [rsession-jdivenyi] ERROR Unexpected exception: call to empty boost::function; LOGGED FROM: int main(int, char *const *) /Users/rstudio/rstudio/src/cpp/session/SessionMain.cpp:3429
08 Dec 2016 13:29:20 [rsession-jdivenyi] WARNING Abort requested; LOGGED FROM: bool rstudio::session::connection::checkForAbort(boost::shared_ptr<HttpConnection>, const boost::function<void ()>) /Users/rstudio/rstudio/src/cpp/session/http/SessionHttpConnectionUtils.cpp:136
08 Dec 2016 13:29:34 [rsession-jdivenyi] WARNING Process supervisor did not terminate within 1 second; LOGGED FROM: void <anonymous namespace>::rCleanup(bool) /Users/rstudio/rstudio/src/cpp/session/SessionMain.cpp:2561
08 Dec 2016 14:54:06 [rsession-jdivenyi] CLIENT EXCEPTION (rsession-jdivenyi): (TypeError) : undefined is not an object (evaluating 'this.a.a.r.row');|||org/rstudio/studio/client/workbench/views/source/editors/text/r/SignatureToolTipManager.java#134::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#167::runScheduledTasks|||com/google/gwt/core/client/impl/SchedulerImpl.java#338::flushPostEventPumpCommands|||com/google/gwt/core/client/impl/SchedulerImpl.java#76::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#140::execute|||com/google/gwt/core/client/impl/Impl.java#244::apply|||com/google/gwt/core/client/impl/Impl.java#283::entry0|||http://127.0.0.1:32725/#-1::anonymous|||com/google/gwt/cell/client/AbstractEditableCell.java#41::viewDataMap|||Client-ID: 33e600bb-c1b1-46bf-b562-ab5cba070b0e|||User-Agent: Mozilla/5.0 (Macintosh  Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko)
08 Dec 2016 14:54:06 [rsession-jdivenyi] CLIENT EXCEPTION (rsession-jdivenyi): (TypeError) : undefined is not an object (evaluating 'this.a.a.r.row');|||org/rstudio/studio/client/workbench/views/source/editors/text/r/SignatureToolTipManager.java#134::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#167::runScheduledTasks|||com/google/gwt/core/client/impl/SchedulerImpl.java#338::flushPostEventPumpCommands|||com/google/gwt/core/client/impl/SchedulerImpl.java#76::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#140::execute|||com/google/gwt/core/client/impl/Impl.java#244::apply|||com/google/gwt/core/client/impl/Impl.java#283::entry0|||http://127.0.0.1:32725/#-1::anonymous|||com/google/gwt/cell/client/AbstractEditableCell.java#41::viewDataMap|||Client-ID: 33e600bb-c1b1-46bf-b562-ab5cba070b0e|||User-Agent: Mozilla/5.0 (Macintosh  Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko)
08 Dec 2016 14:54:06 [rsession-jdivenyi] CLIENT EXCEPTION (rsession-jdivenyi): (TypeError) : undefined is not an object (evaluating 'this.a.a.r.row');|||org/rstudio/studio/client/workbench/views/source/editors/text/r/SignatureToolTipManager.java#134::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#167::runScheduledTasks|||com/google/gwt/core/client/impl/SchedulerImpl.java#338::flushPostEventPumpCommands|||com/google/gwt/core/client/impl/SchedulerImpl.java#76::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#140::execute|||com/google/gwt/core/client/impl/Impl.java#244::apply|||com/google/gwt/core/client/impl/Impl.java#283::entry0|||http://127.0.0.1:32725/#-1::anonymous|||com/google/gwt/cell/client/AbstractEditableCell.java#41::viewDataMap|||Client-ID: 33e600bb-c1b1-46bf-b562-ab5cba070b0e|||User-Agent: Mozilla/5.0 (Macintosh  Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko)
19 Dec 2016 15:59:32 [rsession-jdivenyi] CLIENT EXCEPTION (rsession-jdivenyi): (TypeError) : undefined is not an object (evaluating 'this.a.a.r.row');|||org/rstudio/studio/client/workbench/views/source/editors/text/r/SignatureToolTipManager.java#134::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#167::runScheduledTasks|||com/google/gwt/core/client/impl/SchedulerImpl.java#338::flushPostEventPumpCommands|||com/google/gwt/core/client/impl/SchedulerImpl.java#76::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#140::execute|||com/google/gwt/core/client/impl/Impl.java#244::apply|||com/google/gwt/core/client/impl/Impl.java#283::entry0|||http://127.0.0.1:18686/#-1::anonymous|||com/google/gwt/cell/client/AbstractEditableCell.java#41::viewDataMap|||Client-ID: 33e600bb-c1b1-46bf-b562-ab5cba070b0e|||User-Agent: Mozilla/5.0 (Macintosh  Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko)
19 Dec 2016 15:59:32 [rsession-jdivenyi] CLIENT EXCEPTION (rsession-jdivenyi): (TypeError) : undefined is not an object (evaluating 'this.a.a.r.row');|||org/rstudio/studio/client/workbench/views/source/editors/text/r/SignatureToolTipManager.java#134::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#167::runScheduledTasks|||com/google/gwt/core/client/impl/SchedulerImpl.java#338::flushPostEventPumpCommands|||com/google/gwt/core/client/impl/SchedulerImpl.java#76::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#140::execute|||com/google/gwt/core/client/impl/Impl.java#244::apply|||com/google/gwt/core/client/impl/Impl.java#283::entry0|||http://127.0.0.1:18686/#-1::anonymous|||com/google/gwt/cell/client/AbstractEditableCell.java#41::viewDataMap|||Client-ID: 33e600bb-c1b1-46bf-b562-ab5cba070b0e|||User-Agent: Mozilla/5.0 (Macintosh  Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko)
19 Dec 2016 15:59:32 [rsession-jdivenyi] CLIENT EXCEPTION (rsession-jdivenyi): (TypeError) : undefined is not an object (evaluating 'this.a.a.r.row');|||org/rstudio/studio/client/workbench/views/source/editors/text/r/SignatureToolTipManager.java#134::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#167::runScheduledTasks|||com/google/gwt/core/client/impl/SchedulerImpl.java#338::flushPostEventPumpCommands|||com/google/gwt/core/client/impl/SchedulerImpl.java#76::execute|||com/google/gwt/core/client/impl/SchedulerImpl.java#140::execute|||com/google/gwt/core/client/impl/Impl.java#244::apply|||com/google/gwt/core/client/impl/Impl.java#283::entry0|||http://127.0.0.1:18686/#-1::anonymous|||com/google/gwt/cell/client/AbstractEditableCell.java#41::viewDataMap|||Client-ID: 33e600bb-c1b1-46bf-b562-ab5cba070b0e|||User-Agent: Mozilla/5.0 (Macintosh  Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko)
24 Jan 2017 15:07:23 [rsession-jdivenyi] WARNING Process supervisor did not terminate within 1 second; LOGGED FROM: void <anonymous namespace>::rCleanup(bool) /Users/rstudio/rstudio/src/cpp/session/SessionMain.cpp:2561
